OBJECTID,LIFECYCLESTATUS,INSTALLDATE,ASSET_TYPE,ASSET_ID,ENTNAME,ROAD_ID,ADDRESS_ID,CIVIC_ADDRESS,OWNER,ASBUILTNUMBER,POSITION_ACCURACY,ACCESSTYPE,ACCESSDIAMETER,TOPOFCATCHBASIN,INVERTELEVATION,SUMP,x,y
7674,Active,1/1/1978 12:00:00 AM,Double Catchbasin,10037195,MPLS5R-20,20572,94276,110 CRAIGSTON PL,City of Waterloo,5-978,GPS +/- 0.5m,Grate,,357.79,,No,-80.5427860618457,43.4442632064009
7675,Active,,Single Catchbasin,10045128,CB-1104920,20454,93281,305 LOURDES ST,City of Waterloo,,GPS +/- 0.5m,Grate,,344.556,,Yes,-80.5398181886569,43.4527015970577
7676,Active,11/1/2008 12:00:00 AM,Single Side Inlet Catchbasin,10038868,CB-1110675,5566,100347,520 UNIVERSITY AVE W,Region of Waterloo,41-469,GPS +/- 0.5m,Grate,600,377.4,377.659,Yes,-80.5596108570619,43.4372631048785
7677,Active,1/1/1976 12:00:00 AM,Single Catchbasin,10037452,CB-1109105,162,77431,173 BRIARCLIFFE CRES,City of Waterloo,5-862,GPS +/- 0.5m,Grate,,344.661,,No,-80.5565973403642,43.4612069508333
7678,Active,1/1/1981 12:00:00 AM,Single Catchbasin,10044030,CB-1128511,5956,91284,27 EUCLID AVE,City of Waterloo,5-1079,GPS +/- 0.5m,Grate,,328.14,,No,-80.5268687626294,43.4621332464573
7679,Active,1/1/1982 12:00:00 AM,Single Catchbasin,10044400,CB-1110347,6080,94241,188 SILVERCREST DR,City of Waterloo,,GPS +/- 0.5m,Grate,,353.09,,No,-80.5427308637279,43.4451906277836
7680,Active,1/1/1975 12:00:00 AM,Single Catchbasin,10038030,L52R-13,1393,91191,107 DAWSON ST,City of Waterloo,5-1079,GPS +/- 0.5m,Grate,,329.42,,NI,-80.5277082343449,43.4616415211125
7681,Active,1/1/1960 12:00:00 AM,Single Catchbasin,10038185,CB-1104925,20454,93173,280 LOURDES ST,City of Waterloo,,GPS +/- 0.5m,Grate,,339.483,,Yes,-80.5390644429097,43.4544261553433
7682,Active,1/1/1951 12:00:00 AM,Single Catchbasin,10037334,L46R-89,11050,88859,128 ROGER ST,City of Waterloo,,TSS,Grate,,335.36,,Yes,-80.5080511398933,43.4617715721692
7683,Active,1/1/1976 12:00:00 AM,Single Catchbasin,10044535,CB-1109152,4753,78359,168 BRIARCLIFFE CRES,City of Waterloo,5-865,GPS +/- 0.5m,Grate,,343.829,,No,-80.55614807799,43.4608937024861
7684,Active,1/1/1954 12:00:00 AM,Single Catchbasin,10037090,CB-1128643,127,92053,25 BEVERLEY ST,City of Waterloo,,SURVEY 2012,Grate,,332.6,,Yes,-80.532006859983,43.4598277289216
7685,Active,1/1/1982 12:00:00 AM,Single Catchbasin,10037933,CB-1112068,20467,101205,0 ALEXANDRA AVE,Region of Waterloo,41-303,GPS +/- 0.5m,Grate,,338.43,,Yes,-80.5400177725449,43.4543244360944
7686,Active,1/1/1997 12:00:00 AM,Single Catchbasin,10042006,CB-1143507,26571,87939,745 BRIDGE ST W,City of Waterloo,5-1758,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5235084834991,43.5125570791741
7687,Active,1/1/1966 12:00:00 AM,Single Catchbasin,10042430,CLN10L-6,307,72462,265 SHAKESPEARE DR,City of Waterloo,5-500,GPS +/- 0.5m,Grate,,334.628,,Yes,-80.549593209155,43.4633077537525
7688,Active,1/1/1966 12:00:00 AM,Single Catchbasin,10044711,CB-1109289,20540,81082,250 KEATS WAY 14,City of Waterloo,5-499,GPS +/- 0.5m,Grate,,333.774,,Yes,-80.5428769812269,43.4631347813586
7689,Active,1/1/1994 12:00:00 AM,Double Catchbasin,10043469,DCB-1105546,25175,95755,315 KAREN PL,City of Waterloo,5-1626,GPS +/- 0.5m,Grate,,336.404,,Yes,-80.5448149646595,43.4581792442074
7690,Active,1/1/1991 12:00:00 AM,Single Catchbasin,10041538,CB-1128271,8843,91220,107 ALEXANDRA AVE,City of Waterloo,,GPS +/- 0.5m,Grate,,333.481,,Yes,-80.5278468080488,43.4585976139303
7691,Active,1/1/1953 12:00:00 AM,Single Catchbasin,10044708,CB-1128771,7562,89866,48 BRIDGEPORT RD E,Region of Waterloo,,GPS +/- 0.5m,Grate,,320.85,,Yes,-80.5191467548923,43.468243876232
7692,Active,,Single Catchbasin,10044934,L51R-20,1434,90586,115 BELMONT AVE,City of Waterloo,,GPS +/- 0.5m,Grate,,332.541,,No,-80.5241507968557,43.457790121117
7693,Active,1/1/1950 12:00:00 AM,Single Catchbasin,10042381,CB-1112037,8856,92303,224 FORSYTH DR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,343.958,,Yes,-80.5315097903056,43.4522408008482
7694,Active,1/1/1972 12:00:00 AM,Double Catchbasin,10041025,CB-1128087,8605,91667,121 DUNBAR RD S,City of Waterloo,,GPS +/- 0.5m,Grate,,342.133,,Yes,-80.5259447711815,43.4567474084941
7695,Active,1/1/2002 12:00:00 AM,Double Catchbasin,10044943,L54R-59,125,92443,9 DIETZ AVE S,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,333.931,,Yes,-80.5335153254259,43.4600011736051
7696,Active,1/1/1982 12:00:00 AM,Single Catchbasin,10042250,L46R-32A,11173,88728,161 ROGER ST,City of Waterloo,,TSS,Grate,,334.55,,Yes,-80.5061196167408,43.4630354604482
