42 2.049329 1.368653 -0.069497 -0.635336 0.339946 -0.314397 0.618012
43 2.108677 1.403090 -0.073058 -0.635542 0.339070 -0.315837 0.617548
44 2.156616 1.436122 -0.072080 -0.635047 0.339523 -0.315555 0.617952
45 2.213337 1.475219 -0.071901 -0.634963 0.340947 -0.315153 0.617459
46 2.273660 1.514101 -0.081173 -0.633818 0.340495 -0.316264 0.618316
47 2.326365 1.580982 -0.078598 -0.652100 0.302366 -0.281222 0.635810
48 2.345703 1.592859 -0.076992 -0.653725 0.297195 -0.276661 0.638575
49 2.400564 1.642261 -0.079457 -0.653927 0.298032 -0.276185 0.638183
50 2.452724 1.690451 -0.082920 -0.653860 0.297452 -0.276756 0.638275
51 2.507938 1.739999 -0.083011 -0.653107 0.298154 -0.276103 0.639001
52 2.543361 1.757520 -0.084761 -0.649592 0.308543 -0.285796 0.633366
53 2.545716 1.759157 -0.082131 -0.646479 0.311841 -0.291400 0.632381
54 2.591121 1.801433 -0.087012 -0.648997 0.312919 -0.290065 0.629878
55 2.640754 1.840841 -0.089806 -0.649712 0.313437 -0.289123 0.629317
56 2.695933 1.885391 -0.089639 -0.650520 0.314263 -0.288607 0.628306
57 2.752112 1.933678 -0.090866 -0.650365 0.314180 -0.290179 0.627784
58 2.782874 1.961271 -0.091634 -0.650360 0.313181 -0.291389 0.627728
59 2.782943 1.961836 -0.092136 -0.650433 0.313450 -0.291665 0.627389
60 2.783261 1.961593 -0.092132 -0.650448 0.313426 -0.291646 0.627395
61 2.783147 1.961304 -0.091446 -0.650525 0.313444 -0.291618 0.627319
62 2.783136 1.961401 -0.091638 -0.650509 0.313440 -0.291636 0.627329
63 2.783015 1.961763 -0.092070 -0.650460 0.313451 -0.291697 0.627346
64 2.783566 1.961667 -0.089638 -0.648618 0.311881 -0.291840 0.629964
65 2.838124 2.006740 -0.091480 -0.648650 0.313691 -0.291196 0.629330
66 2.890504 2.050980 -0.091969 -0.647504 0.312351 -0.292054 0.630777
67 2.948911 2.095173 -0.089380 -0.646071 0.313117 -0.290944 0.632377
68 3.003025 2.139614 -0.091870 -0.646710 0.312737 -0.292011 0.631420
69 3.063844 2.187297 -0.094284 -0.648454 0.315210 -0.290034 0.629310
70 3.115783 2.231182 -0.095762 -0.648674 0.315301 -0.291004 0.628588
